Slide #	Image #	Count	Abundance (VLP/g)	Sample mass (g)	Field of view (sq. um)	6581.54
1	1	80	5809068301	0.143	Cover glass	484000000
2	9	112	8132695621		Multiplier 	73539.01974
2	8	139	10093256173		Adjustment for dilution from antifade and dye 	1.412
2	10	88	6389975131		Volume (uL)	10
3	12	102	7406562084			
3	13	97	7043495315			
3	14	168	12199043432			
3	15	109	7914855560			
4	16	154	11182456479			
4	19	72	5228161471		2430921135	
4	20	171	12416883493			
5	22	121	8786215805		ymin	6119301270
	Average 		8550222405		ymax	10981143541
	Stdev		2430921135			
	CV		0.2843108659			
			28.43108659			
