Slide #	Image #	Count	Abundance (VLP/g)	Sample mass (g)	Field of view (sq. um)	6581.54
1	4	67	4865094702	0.143	Cover glass	484000000
3	12	52	3775894396		Multiplier 	73539.01974
3	13	57	4138961164		Adjustment for dilution from antifade and dye 	1.412
3	14	63	4574641287		Volume (uL)	10
4	18	51	3703281042			
4	19	87	6317361777			
4	20	116	8423149036			
5	21	51	3703281042			
5	22	59	4284187872			
5	23	56	4066347811			
5	24	67	4865094702			
5	25	56	4066347811			
6	26	53	3848507749			
6	30	71	5155548117			
7	31	64	4647254641			
7	33	81	5881681655		1141883038	
7	34	71	5155548117			
7	35	54	3921121103		ymin	3567092954
7	36	69	5010321409		ymax	5850859029
7	37	52	3775894396			
	Average 		4708975991			
	Stdev		1141883038			
	CV		0.2424907326			
			24.24907326			
