Slide #	Image #	Count	Abundance 	Sample mass (g)	Field of view (sq. um)	6581.54
1	5	29	165885533.7		Cover glass	484000000
2	6	35	200206678.6		Multiplier 	73539.01974
3	11	30	171605724.5		Adjustment for dilution from antifade and dye 	1.299
3	12	41	234527823.5		Volume (uL)	10
4	20	29	165885533.7			
5	21	43	245968205.1			
5	22	40	228807632.7			
5	24	52	297449922.5			
5	25	84	480496028.6			
6	26	65	371812403.1			
6	27	28	160165342.9			
6	28	79	451895074.6			
6	29	90	514817173.5		132915078.4	
6	30	82	469055647			
	Average 		297041337.4			
	Stdev		132915078.4		ymin	164126259.1
	CV		0.447463237		ymax	429956415.8
			44.7463237			
