Slide #	Image #	Count 	Raw Count (VLP/mL)	Abundance (VLP/mL) 		Field of view (sq. um)	6581.54
1	3	117	1118528490	4474113.961		Cover glass	484000000
1	4	215	2055415602	8221662.407		Multiplier 	73539.01974
1	5	204	1950254804	7801019.214		Adjustment for dilution from antifade and dye 	1.3
2	6	136	1300169869	5200679.476		Volume (uL)	10
2	7	156	1491371320	5965485.282			
2	9	224	2141456255	8565825.02			
2	10	184	1759053352	7036213.409			
5	21	101	965567329.2	3862269.317			
5	22	219	2093655892	8374623.568			
5	23	125	1195009071	4780036.283		1710382.488	
5	24	168	1606092191	6424368.765			
5	25	104	994247546.9	3976990.188			
5	26	189	1806853715	7227414.86		y min 	4590440.724
	Average			6300823.212		y max	8011205.699
	Stdev			1710382.488			
	CV			0.2714538133			
				27.15%			
