Slide #	Image #	Count 	Concentration (VLP/mL)	Sample mass (g)	Field of view (sq. um)	6581.54
3	12	191	3966577063	0.5	Cover glass	484000000
3	13	121	2512857720		Multiplier 	73539.01974
3	14	227	4714204153			
3	15	105	2180579013		Volume (uL)	10
5	21	186	3862739967			
5	22	148	3073578038			
5	23	104	2159811594			
5	24	105	2180579013			
5	25	118	2450555463			
6	26	103	2139044175			
6	27	123	2554392559		879444531.5	
6	28	104	2159811594			
	Average 		2829560863		ymin 	1950116331
	Stdev 		879444531.5		ymax	3709005394
	CV		0.3108060134			
			31.08%			
